branch,nip,fullname,nickname,phone,status
Temas,AE8000,Andi Wijaya,Andi,082160000000,Non Aktif
Temas,AE8001,Yusuf Bahtiar,Yusuf,082160000013,Aktif
Temas,AE8002,Farida Amelia,Farida,082160000026,Aktif
Temas,AE8003,Nia Kartika,Nia,082160000039,Aktif
Temas,AE8004,Rahmat Hidayat,Rahmat,082160000052,Aktif
Bumiaji,AE8010,Yusuf Bahtiar,Yusuf,082160000097,Aktif
Bumiaji,AE8011,Farida Amelia,Farida,082160000110,Aktif
Bumiaji,AE8012,Nia Kartika,Nia,082160000123,Aktif
Bumiaji,AE8013,Rahmat Hidayat,Rahmat,082160000136,Aktif
Dau,AE8020,Farida Amelia,Farida,082160000194,Aktif
Dau,AE8021,Nia Kartika,Nia,082160000207,Aktif
Dau,AE8022,Rahmat Hidayat,Rahmat,082160000220,Aktif
Dau,AE8023,Putri Ayu,Putri,082160000233,Aktif
Dau,AE8024,Reza Pratama,Reza,082160000246,Aktif
Dau,AE8025,Dewi Lestari,Dewi,082160000259,Non Aktif
