id,branch,customer_name,pppoe_secret,phone,sales,terminator,alamat,expired_date,pickup_suggestion,status
1,Temas,Hendra Gunawan 1,cust4000,081340000000,Andi Wijaya,Bagus,"Jl. Diponegoro No. 2, Temas",01-Jan-26,08-Feb-26,Menunggu Penjadwalan
2,Bumiaji,Wulan Sari 2,cust4001,081340000211,Yusuf Bahtiar,Irwan,"Jl. Diponegoro No. 3, Bumiaji",08-Feb-26,15-Mar-26,Terjadwal Hari Ini
3,Dau,Bayu Aditya 3,cust4002,081340000422,Farida Amelia,Dwi,"Jl. Diponegoro No. 4, Dau",15-Mar-26,22-Apr-26,Selesai
4,Temas,Citra Ayu 4,cust4003,081340000633,Nia Kartika,Bagus,"Jl. Diponegoro No. 5, Temas",22-Apr-26,01-May-26,Menunggu Penjadwalan
5,Bumiaji,Ahmad Fauzi 5,cust4004,081340000844,Rahmat Hidayat,Irwan,"Jl. Diponegoro No. 6, Bumiaji",01-May-26,08-Jun-26,Terjadwal Hari Ini
6,Dau,Budi Santoso 6,cust4005,081340001055,Putri Ayu,Dwi,"Jl. Diponegoro No. 7, Dau",08-Jun-26,01-Jan-26,Selesai
7,Temas,Rina Wijaya 7,cust4006,081340001266,Reza Pratama,Bagus,"Jl. Diponegoro No. 8, Temas",01-Jan-26,08-Feb-26,Menunggu Penjadwalan
8,Bumiaji,Sinta Dewi 8,cust4007,081340001477,Dewi Lestari,Irwan,"Jl. Diponegoro No. 9, Bumiaji",08-Feb-26,15-Mar-26,Terjadwal Hari Ini
9,Dau,Agus Prasetyo 9,cust4008,081340001688,Andi Wijaya,Dwi,"Jl. Diponegoro No. 10, Dau",15-Mar-26,22-Apr-26,Selesai
10,Temas,Maya Sari 10,cust4009,081340001899,Yusuf Bahtiar,Bagus,"Jl. Diponegoro No. 11, Temas",22-Apr-26,01-May-26,Menunggu Penjadwalan
11,Bumiaji,Doni Kurniawan 11,cust4010,081340002110,Farida Amelia,Irwan,"Jl. Diponegoro No. 12, Bumiaji",01-May-26,08-Jun-26,Terjadwal Hari Ini
12,Dau,Lestari Putri 12,cust4011,081340002321,Nia Kartika,Dwi,"Jl. Diponegoro No. 13, Dau",08-Jun-26,01-Jan-26,Selesai
13,Temas,Hendra Gunawan 13,cust4012,081340002532,Rahmat Hidayat,Bagus,"Jl. Diponegoro No. 14, Temas",01-Jan-26,08-Feb-26,Menunggu Penjadwalan
14,Bumiaji,Wulan Sari 14,cust4013,081340002743,Putri Ayu,Irwan,"Jl. Diponegoro No. 15, Bumiaji",08-Feb-26,15-Mar-26,Terjadwal Hari Ini
15,Dau,Bayu Aditya 15,cust4014,081340002954,Reza Pratama,Dwi,"Jl. Diponegoro No. 16, Dau",15-Mar-26,22-Apr-26,Selesai
16,Temas,Citra Ayu 16,cust4015,081340003165,Dewi Lestari,Bagus,"Jl. Diponegoro No. 17, Temas",22-Apr-26,01-May-26,Menunggu Penjadwalan
17,Bumiaji,Ahmad Fauzi 17,cust4016,081340003376,Andi Wijaya,Irwan,"Jl. Diponegoro No. 18, Bumiaji",01-May-26,08-Jun-26,Terjadwal Hari Ini
18,Dau,Budi Santoso 18,cust4017,081340003587,Yusuf Bahtiar,Dwi,"Jl. Diponegoro No. 19, Dau",08-Jun-26,01-Jan-26,Selesai
19,Temas,Rina Wijaya 19,cust4018,081340003798,Farida Amelia,Bagus,"Jl. Diponegoro No. 20, Temas",01-Jan-26,08-Feb-26,Menunggu Penjadwalan
20,Bumiaji,Sinta Dewi 20,cust4019,081340004009,Nia Kartika,Irwan,"Jl. Diponegoro No. 21, Bumiaji",08-Feb-26,15-Mar-26,Terjadwal Hari Ini
